username;mentions
marijswinkels;bartlup
martenjapenga;woukevscherrenb
cjbjcjbj;StellingChecker
jeroenfritz;
Correctietik;mvanhulten
LegerdesHeilsN;Legerdesheils
92ps;freekjonge
avinghedri;mleijte
wespr;
WMJGroeneveld;frank_enfrey,LodewijkA,SPnl
Butchi;
HermanZaalberg;Bubble_1
hermenjanrijks;JorisW_GP
HvHooft;VogelvrijeHArts
jaccogrooters;LodewijkA
Irma_Koopman;gerauschkulisse
Blondemevrouw1;
Basdevos;LiseWitteman
PvdAtotMonasch;
AnnemiekeWB;LodewijkA,PvdA
bvantwout;pvalstar
Dikkedaan;YurreWieken
Newshunkie;
VrijndeSteede;
LenyTanis;Amma_Asante
RobbertMeeder;RobbertMeeder
CaspervanEs;
LegerdesHeilsN;Legerdesheils
CDABrabant;fransweisglas,sybrandbuma,APechtold
paulpsv;
thecybercrew;geertwilderspvv,markrutte,sybrandbuma,APechtold
wernerwafelman;Grummels,ncilla,thierrybaudet
LauraEve;NOS
anna_anneke;RonVerheijen
Ed_gerick;bartlup
remcovvd;pvalstar
wiggersrunning;
eradus2911;HansdeBoer18
lauraHKM;JoostSchreurs
MGCenten;VogelvrijeHArts
PaulSiegers;markrutte
KitaBerdua2;VogelvrijeHArts
mijndongeradeel;woukevscherrenb,J_Dijsselbloem
hanslinker;
WilHogeman;Legerdesheils
DavyGer;
peggybvd;Spittie28
delnos;fvdemocratie,thierrybaudet,THiddema
FoughtyWilliam;groenlinks
Pieterhilhorst;jesseklaver,markrutte
betullalegno;m_de_boer
NT035;VogelvrijeHArts
egging1;VogelvrijeHArts
Eevski;
Johnerous;
Kuif007;emileroemer
Rozemarijn_eet;eetschrijver
boerenlog;mvanhulten
ja_bakker;
jesse_markus;mleijte
pvalstar;
volkskrant;
robertopostma;GerineLodder
Jaap_vdg;bartlup
remyvanmannekes;
marijevanrest;EvertvanRest
KIESLIES;selcuk_nl
afca_leiden;
JoKer33817736;noosevleq
tietesijens;VluchtelingWerk,groenlinks,VVD
EvaKnoet;
ThisIsGather;mleijte
Nidoturko_xo;bartlup
YidArmyNL;
mariekend;vanderzande,nosop3
FoughtyWilliam;
Thara_TN;MinPres
SerbanescuKele;
top050;MV33fan
GreenpeaceNL;
PetraNijhuis;MajaMischke
pimr;
lauraHKM;nathandegroot
sebasboers;bartlup
PatrickCoppens1;
NT035;CoenvdVen
HediNeijenhuis;
TheoHakkert;m_de_boer
LegerdesHeilsN;Legerdesheils
SJohnkoster;
Irma_Koopman;
EddieForster;
hypomargoteros;
FoughtyWilliam;
EliseRoskam;
Jacovanderveen;
Rappapaaa;m_de_boer
PetraBenes;deSchuitemaker
WhyNotSmile81;Bubble_1
Hoogje;jesseklaver
EricJensen020;MinPres
LiberaalNico;mklerx
TheadeJong3;VogelvrijeHArts
armandodejonge;
FoughtyWilliam;
taa1980;GerineLodder
marcbreugelmans;Verkoulen
DevriesHanne;VogelvrijeHArts
mbordewijk;filosoof
joosttenhove;bartlup
politiekeheld;
Wedderplase;MV33fan
FoughtyWilliam;
rikwes66;
Grannny63;MV33fan
mklerx;
estherelisa;pvalstar
Bart1608;
vdf79;fbarend,NPO1
JohnnyLukasse;Arnoudproos
WillemUrk;
floordoppen;bartlup
Energiecomm;markrutte
dba60k;JocelynNugteren,Stanislawa1
ivovaneck;mleijte
EmielHoltermann;LeanderBroere
FreeAtLiberty;jesseklaver
hdevreij;mvanhulten
cvrooijen;jesseklaver
folkert87;
hypomargoteros;
PepeNature;
Smienos;
MV33fan;
FoughtyWilliam;
VrijndeSteede;
TomasFriedhoff;Energiecomm,gertjansegers
WivadeKo;
Sebastiaan1976;
JohanGrijzen;jesseklaver
LaRantwijk;pvalstar
HenkMedema;Legerdesheils
FoughtyWilliam;
Wedderplase;
roepme;
JanHadderingh;VandijkenE
El_Griego79;
DaanVerhoeven;
randymartens;
TomasFriedhoff;Energiecomm,jesseklaver,groenlinks
helmer1979;
JoseKlerks;P78ter
raymondgradus;Verkoulen
Tux5;keesgroeneveld3
ekolste;
aerique;mariannethieme
JoostSchreurs;
GeorgeZande;
kinnebak;LodewijkA,NOS,diederiksamsom
FlorisBerlin;bartlup
CollignonEls;VogelvrijeHArts
bertilfranken;
JoopDaalmeijer;m_de_boer
hypomargoteros;
MichelOss;
Dracon85;
frxnsien;Dolfjansen
Caroline_Bosch;
YazzNina;Sprakeloos
Wilcorkes;LodewijkA
GerineLodder;
mikeham0659;Derksen_Gelul
AnjavanDuren;bartlup
joost_vliet;
VisionBits;mleijte
ingridbennink;
j0epiedep0epie;markrutte
BrownSugar020;
klimaattwts;Fossielvrij,gertjansegers,mariannethieme
nerdmarcel;
ingmols;
THX113812;bramvommen
MarOirs;wesleyvdheijden
ErwinKordes;LeanderBroere
FoughtyWilliam;
jochemfloor;bartlup
Natuurcontact;GreenpeaceNL
PS63;LiseWitteman
GeavanR;
Mawesseltje;bartlup
DavyvanAarssen;
rogierelshout;
berentsenlau;volkskrant
GlobalPoll_NL;
deVeNtEr_69;bartlup
Dampen2016;edbikkel
HvHooft;HansdeBoer18
leonvincken;mleijte
OCALAMlTY;bartlup
KoenVeelenturf;
Lies_Roofer;APechtold,sybrandbuma
Andries_tekst;
robertcbrand;HansdeBoer18
Hulstam;bartlup
JolanKnol;
Mike__1999;bartlup
smokinggohan;
Reinoud_Roukema;bartlup
Kees_Stam;bertilfranken
lerem13;VogelvrijeHArts
robiNLITA;leonbroekx
Vliegopdemuur;mleijte
Spittie28;
irenegeubels;LiseWitteman
NancyvanderVin;mvanhulten
Natuurcontact;GreenpeaceNL
Olfertjan;mvanhulten
catchingflares;bartlup
Maurocczanatta;
LdHAmsterdam;Legerdesheils
deSchuitemaker;
P78ter;
Smooth__Caramel;IsisEvrinen
Bubble_1;
LaurensVVoorst;MarijnissenL,JohanDerksen
MartijnMellema;mvanhulten
frxnsien;roosschlikker
LeanderBroere;
gerauschkulisse;
PJ66;VogelvrijeHArts
SeanFerrari99;
HenkMedema;bartjonkman1,sybrandbuma
ewoudbutter;StellingChecker
LonnekeMaraczi;VogelvrijeHArts
jeonyultwt;bartlup
Berttypt;LodewijkA
spacema09104056;Derksen_Gelul
Superlizzy;bartlup
RemkoTheulings;
StanBackus;
VluchtelingWerk;VluchtelingWerk,groenlinks,VVD
StefanieSpreekt;ewoudbutter
remcobekkema;VVD
Simmie81;mleijte
lucinderful;palpeet
NogmeerAbra;waaromweetikdit
hypomargoteros;
WimSomers;HansdeBoer18
JJB_Krabbenborg;geertwilderspvv,LavieJanRoos
janschaap1111;jkuipers_,APechtold,sybrandbuma
matistico;bartlup
Irma_Koopman;rikwes66
Donkerwoud;mleijte
Butchi;
Layspace;VVD
Twilsje;
jolandapikkaart;ewoudbutter,sybrandbuma,LodewijkA
ArthurWarmer67;mleijte
Poolreiziger;pvalstar
xKimnugget;pvalstar
inekeduzz;VogelvrijeHArts
nicoledehaan;
MaykeAlbers;bartlup
timlamers;
rob_koops;mvanhulten
Ejee13;LiseWitteman
LindaStrijker;peterkerris
ElskeKevie25;cvrooijen,LodewijkA
WimSomers;ErikFlentge
mjdekok;LodewijkA
Ed_gerick;bartlup
cmsNetherlands;El_Griego79
andreadankbr;Derksen_Gelul
sventrommelen_;
betullalegno;
martinegoeman;DefenceChildren
DietGroothuis;
Arnoudproos;keesvdstaaij
jaapveenstra;mleijte
vandenadort;bartlup
AshleyNorth91;pvalstar
GosseDrent;bartlup
Rene_de_Caluwe;bartlup
PBattjes;
jajem;
Raytje;vid
StellingChecker;
Tovenaarsberg;VogelvrijeHArts
adewolff;
LiseWitteman;
WimSomers;naatdefeo
kaadeevee;mleijte
Amma_Asante;LodewijkA
destemvan;
citisens_nl;
NeckervanNaem;
GemeenteraadNL;
CindyPenders1;GoogleNL
Hephaistos1983;VogelvrijeHArts
MJRiemens;LodewijkA
Evita79497112;uri4u,LodewijkA,PvdA
Dulfera;RikSeveke,jesseklaver,APechtold
jelmarhekker;
selcuk_nl;
Kevin_Canis;
jj58;vanderzande,nosop3
Pieterhilhorst;LodewijkA,emileroemer
MichelOss;
RalphDrijver;GeertDreschler
naatdefeo;
AbrahamWijnand;trgjaski82
kort_nicole;LodewijkA,geertwilderspvv
hensens;bartlup
rooszzaa;fvdemocratie,thierrybaudet,THiddema
hopzakid;
Dzjem;waltervanpeijpe
barbaramounier;mleijte
Geerjanne;LisanneCM
palpeet;
mennovdmeer;mleijte
aronofsky1978;
Sprakeloos;
jvdnberg;bartlup
willemdegenhart;Judith06,bartlup
jorien71;LiseWitteman
AnnemiekeWB;LiseWitteman
Wtr_P;
Lievt;DaanVerhoeven
anatwitje;
IsisEvrinen;
pimkuijer;hkoit,emileroemer,VVD
mluyer;fransweisglas,sybrandbuma,APechtold
ruwebolstertje;strandjutter_
robvandegroep;mleijte
beschuit_p;
LdHAmsterdam;Legerdesheils
aquerci;
MO_Onhunter;
PcmPaulien;TheoJans1
voetzoeker87;fbarend,NPO1
BasThijssen;bartlup
MarleenBarth;LiseWitteman
MrVictorPhineas;
NathalieD;
nathandegroot;
Nicole301165;bartlup
WimSomers;LiseWitteman
Anna1procent;
MichaelrOlivier;Mike0709
PaulineVanE;
DukMenno;fransweisglas,jesseklaver,sybrandbuma
Juultje72;
gertboeve;mvanhulten
zwevendekiezer;
a_vermeij;VogelvrijeHArts
janvandenheuvel;cdavandaag,APechtold
AlwinteRietstap;gertjansegers
VrijndeSteede;
PMarijnissen1;Spittie28
j0epiedep0epie;
MetKristel;gertjansegers
Monique_v_Kleef;LaurensVVoorst,LodewijkA
Boukhalfa_Ines;
PHKEV;bartlup
wdejager;
rcoenmans;pvalstar
babbelaar4life;
simonbax;TweetEgbert
skattenberg;mleijte
AccountantMama;
SaraJac53729508;
2525;mleijte
vlugtstrook;Grummels,ncilla,thierrybaudet
JackPecozi;uri4u,LodewijkA,PvdA
EdHarms;
mlauriks;LodewijkA
JoelSerphos;pvalstar
Rootje71;djongejan
GreenpeaceNL;
sharon_dijksma;LiseWitteman
mhjvandenberg;LodewijkA,PvdA
Veenhuizen;
Kees_Stam;IsisEvrinen
WiekedeBoer1;mleijte
frank_enfrey;LodewijkA,SPnl
Irma_Koopman;TheoJans1
kruidje;VogelvrijeHArts
waltervanpeijpe;
bertilfranken;
PasMaNNi;LodewijkA,emileroemer
sycrett;ton_aarts
espg;mleijte
dehuisarts;VogelvrijeHArts
princemaurits;
brinkster20;JohanDerksen,emileroemer,LodewijkA
niss0706;
Bubble_1;bartlup
Smienos;
polley82;TwitMatthijs
OCALAMlTY;YurreWieken
PatrickCoppens1;
Mariannevdv;
PcmPaulien;YidArmyNL,skriuwwurk
ReinankeHaagsma;bartlup
FoughtyWilliam;
OnlineMarketeer;boerdeboer
xliiek;
JohanKwisthout;Spittie28
skipperwibo;
lottejeursen;CorinneEllemeet
ruwebolstertje;NieuwewegenNu
simonvangorcum;
AccountantMama;
ruudfleuren;
FoughtyWilliam;
tiswendelientje;bartlup
Poolreiziger;emileroemer,LodewijkA
EvelynadeBeer;mvanhulten
Peterva53282244;VogelvrijeHArts
edbikkel;
marizsmn;
LisanneCM;
roPvdB;
Irma_Koopman;
jkuipers_;APechtold,sybrandbuma
FoughtyWilliam;
DbergV;arnansamson
detlefcmeijer;
WimSomers;bramvommen
fransweisglas;emileroemer,LodewijkA
FoughtyWilliam;
Gismis;victorginori
sanderzieleman;
Bram_wattel;m_de_boer
PjotrLigthart;Hagenbeek,PartijvdDieren
YidArmyNL;
ReneSchalks70;
randymartens;
geertrb;bartlup
MissLindsayLane;martijnen
Lievt;parool
wesleyvdheijden;NOS
jockgeselschap;PieterCPenning
81dvw;olle010,thierrybaudet,fvdemocratie
robinvansambeek;
CarinaVermeij;
VeldhuisC;MajaMischke
yasdioni;
FoughtyWilliam;
matthijsalgra;bartlup
cescolevens;
eylemkoseoglu;LodewijkA
ThijsLoonstra;
maarten_de_boer;mleijte
XvdB;GreenpeaceNL
aerique;
MarienIDloods;
esthervgeldorp;
JosMoesmanjr;
verspreidnieuws;
FoughtyWilliam;
m_vanderkloor;
PeterLucasdr;fransweisglas,sybrandbuma,APechtold
_lasletras;bartlup
DafjeTurbo;OnlineMarketeer
MO_Onhunter;
marcelherry;RonVerheijen
FoughtyWilliam;
Dejong64Mar;VogelvrijeHArts
TheoJans1;
spanje53;nickfylax
Rootje71;naatdefeo
zesdewethouder;
duins1;
mixtapetbax;Godbloodyhell
CorteCasa;bartlup
MohamedMokaddem;LodewijkA
GeorgeZande;
GoedhartRob;nrc,LodewijkA
LindavanSon;
JoopLahaise;WouterBooij
arjenbes;
Chris_uitAbcou;NOS,jesseklaver,sybrandbuma
WankyDiamond;bartlup
Harr3mans;Sven_Jach
jadore2080;
JournaLaurens;
SaskiaJosy;Mariannevdv
florisvels;mleijte
realpaulsmit;LaurensVVoorst,LodewijkA
BeltPeter;
753d03f8a790460;HansdeBoer18
top050;VogelvrijeHArts
DaanVerhoeven;
TimmerRien;Legerdesheils
ErikV002;VogelvrijeHArts
D_Verlinden;
ArdaG;Grotius27
ad_de_boer;m_de_boer
hysterialester;bartlup
vanStokrom;
ZeeuwtjeT;mleijte
gerdavanbeek;ashatenbroeke
ericvanderveen;mvanhulten
AnthonyGodfroid;waaromweetikdit
PcmPaulien;HansdeBoer18
Hanzi68;EWdeVlieger,LodewijkA
leentjevier;VogelvrijeHArts
PcmPaulien;cpo3x
juliawxxx;bartlup
CoenvdVen;PvdA
rikwes66;
Tweetannemieke;vid
jan_zeddam;VogelvrijeHArts
IsisEvrinen;
MGijzen63;VogelvrijeHArts
nilsmuller;HansdeBoer18
LVerburgh;bartlup
MaxSchoo;marizsmn,thierrybaudet,theohiddema
ErcanKocyigit;peterkerris
ThmsvdVlk;
m_de_boer;
CollignonEls;VogelvrijeHArts
andreadankbr;PvdAtotMonasch
jochemdg;
Houthum;JocelynNugteren
HanAltena;LodewijkA
RohanNagel1997;VogelvrijeHArts
LaurensVVoorst;LodewijkA
aj3_wd;bartlup
stevenvanroon;bartlup
Luuk_DC;
APPELADVIES;nancyburger
ErikFlentge;EWdeVlieger,emileroemer
Irma_Koopman;
bokmaneke;bartvanmerwijk_
ErcanKocyigit;MichelOss,LodewijkA
manonhoogerv;bartlup
LiseWitteman;
EvertvanRest;
JeBozeOom;uri4u,LodewijkA,PvdA
Meikebe;
RPJKuijpers;bartlup
Lennartk7;
Hallyfax;adewolff
Tovenaarsberg;VogelvrijeHArts
LittleFoolLaura;ginalinettits
oldironfarmer;
DiederikOlders;HansdeBoer18
pvalstar;
Mike0709;
HendrikLoots;HansdeBoer18
Spittie28;
MariannedeKort;
adhofstra;VogelvrijeHArts
erikleibbrand;BoertjePummel
cvrooijen;
lambersm;vanderzande
Plien112;
JoostVuurs;petervheemst
AmelieVe;Layspace
gchoekstra;bartlup
BoswachterTim;bartlup
jolandapranger;bartlup
naatdefeo;
MO_Onhunter;
margreetbosma1;uri4u,PvdA,SPnl
bregjejonkhart;
JBastings;fransweisglas,sybrandbuma,APechtold
mickeymeat;joelheiner
HarmVanBezouw;
Lottie223;WouterBooij
GrunnenRocks;mvanhulten
GerGiessen;ton_aarts
Energiecomm;roemer,asscher
ParentInternet;StellingChecker
Thara_TN;LodewijkA
mirandaklein57;
ThijsLoonstra;LodewijkA
RuudJeltes;VogelvrijeHArts
GeertjePaaij;
mvsadventures;Godbloodyhell
leonbroekx;
ERWND91;
eMKaX2;SPnl
AMHHendrix;
FreeAtLiberty;mleijte
columniks;
JolandaLourens;
RositaSP;HansdeBoer18
Grotius27;
marizsmn;thierrybaudet,theohiddema
mholkers;
SandradeWolff;mleijte
GeertDreschler;
atietwiet;
IreneKorff;parool
AnjavanDuren;MichelOss,LodewijkA
GerBaron;mleijte
Ronald341977;bartlup
JoeyzillaNL;LodewijkA
Piet53Herweijer;RonVerheijen
ewoudbutter;sybrandbuma,LodewijkA
berthesselink;LodewijkA,emileroemer
Pimmpampet;bartlup
EsmeevanVliet;bartlup
ruudfleuren;
AndreDaamen;HansdeBoer18
jacobdevries;
Edvdijk;bartlup
joelheiner;
Nedcargo;
Berttypt;APechtold,LodewijkA
Joene1978;HansdeBoer18
SacharkoBroere;
KoenHahn;GPuylaert
Monique2507;
PaulVermast;
HQe_Uitgevers;
Twilsje;
BQFinest;bartlup
saantjes;VogelvrijeHArts
Twittarjan;mvanhulten
boonstraanouk;NOS
smokinggohan;
Egbert1948;ton_aarts
Sven_Jach;
Hagenbeek;PartijvdDieren
henniehemmes;HansdeBoer18
vanbeekej;
LdHGld;Legerdesheils
EvaKnoet;
MarOirs;mleijte
Revelsoffice;fvdemocratie,thierrybaudet,THiddema
kars_havenaar;bartlup
maestraroos;bartlup
CdeBoer77;bartlup
MGCenten;
LarsBoelen;Energiecomm,emileroemer,LodewijkA
ginalinettits;
81dvw;fvdemocratie,thierrybaudet,THiddema
SnarfxFrans;VogelvrijeHArts
FoughtyWilliam;
sarahn_h;bartlup
Henkhoogardie;
IwanBrink;
PcmPaulien;cpo3x
Nicole_vd_Hoven;VogelvrijeHArts
MickyDevente;bartlup
Grieven;
GerBaron;bartlup
hans_sausage;
SJOERDvanHEIST;
Foxmeister_;
JantjeSoldaat;VogelvrijeHArts
boonstraanouk;NOS
mediamannetje;vanderzande,nosop3
Edvdijk;EWdeVlieger,LodewijkA
pauldub67;
CharlotteBdeRoo;NOS,jesseklaver,sybrandbuma
DonatelloPiras;
traallok;JosvdB
bas_afcajax;bartlup
ThijsPeerdeman;
duins1;
AMolendijkQ;victorginori
msoest4;bartlup
SlijkhuisS;EWdeVlieger,APechtold
FabianvanHal;
Donkerwoud;Nikki013
RobNoorland;
xliiek;
GlobalPoll_NL;
erikvandorp;EWdeVlieger,LodewijkA
PRMansion;Energiecomm,emileroemer,LodewijkA
sikke03;
KosterJan;
mediamannetje;Legerdesheils
81dvw;fvdemocratie,thierrybaudet,THiddema
NataliadaSG;GreenpeaceNL
drommens;LodewijkA
JoWe1980;
Crazyoma2;VogelvrijeHArts
geertrb;bartlup
jaapdebruijn;rogierelshout
GerhardterBeek;Legerdesheils
deVeNtEr_69;
WimSomers;bertilfranken,emileroemer
fundamujde;mvanhulten
kittykatje67;VogelvrijeHArts
nozzman;
Irma_Koopman;
SPWestMenW;El_Griego79
Johnerous;bartlup
TonHeerschop;LiseWitteman
JoostVuurs;AnneGraumans
alldayshannon;bartlup
YsWeij;bartlup
nvtasja;bartlup
PaulSiegers;roemer
FredKieboom;mvanhulten
BartOoms;OliverSchomborg,LodewijkA,geertwilderspvv,emileroemer
niss0706;
BenHarmers;umarebru
Saleheim;VogelvrijeHArts
madame_miek;bartlup
PascalRoemers;MichelOss,LodewijkA
Mo_elBachiri;naatdefeo
Schaamteloos;olle010,thierrybaudet,fvdemocratie
Dracon85;
DaeronSingollo;
Sabio_VD;
LaraHoman;petervheemst
frankvdhelder;
mrkoekie;LodewijkA
nl_0223;fantasievriend,APechtold
ArjanStoop1;LodewijkA
Hallyfax;olle010,thierrybaudet,fvdemocratie
hestermourik;bartlup
naatdefeo;
ErikFlentge;HansdeBoer18
EikoSmid;
dwdb_;whiteliesmusic
gijsvanb;
ArjanvO;LiseWitteman
OnlineMarketeer;
Herminaelisabet;mvanhulten
MirjamBink;bartlup
B_Beukers;politiq
Burgemeester;
abnormaal545;LodewijkA
ElseMarike;victorginori
oorgasmisch;
LeoNijhuis;VogelvrijeHArts
GrienLinksFrysl;rogierelshout
Sjorsrem;
andreadankbr;PvdAtotMonasch
81dvw;fvdemocratie
Gerhald_S;LodewijkA,emileroemer
DiniLubberts;mvanhulten
Mike0709;bartlup
HilliedeKoe;naatdefeo
SeniorenVVD;VrijndeSteede
CSCHELLE;bartlup
El_Griego79;
Beezz13;MajaMischke
BoertjePummel;
StellingChecker;
RemySpringer_;
Fatmadesertrose;KesTeab
d_adriaansen;jverhaaren
pittoresq;JanHoedeman
Layspace;Energiecomm,emileroemer,LodewijkA
ImJustLUKAS;
Anneliesvalk;bartlup
ChrisRossing;LodewijkA,PvdA
JoegoTaak;Verkoulen
leonbroekx;
NicoMeijer;
Sunita_Biharie;CoenvdVen
BonteRaaf;Andries_tekst
MetsSm;bramvommen
bramvdhelder;LodewijkA,PvdA
Gerbijl;nancyburger
ruude4s;LodewijkA,emileroemer
tomveldhuijzen;
Nouscat;ErikFlentge
MarjelleTweets;VogelvrijeHArts
fd5f688792b2403;uri4u,LodewijkA,PvdA
PatrickCoppens1;
markbroersma;bartlup
swdenhaan;bartlup
martin_stroomer;
PcmPaulien;bramvommen
_eric44_;
PieterCPenning;
JohanPoland;bartlup
SinhoJohan;
Echt_Rechts;VoetbalInside,PvdA
bartlup;
GerritKok2;robvandegroep
Mike0709;
harbersp;
quisqo;AdvocaatAlpha,Piratenpartij,ncilla
Bosvrucht;Medemamaatje
WillemvanSermon;
anatwitje;
PeetvdSande;bartlup
SLiasam;bartlup
RonGcampagneSP;bramvommen
DaanVerhoeven;wesleyvdheijden
Simon120292;bartlup
HilliedeKoe;bramvommen
Jari2108E;bartlup
S_leRenard;
OliverSchomborg;LodewijkA,geertwilderspvv,emileroemer
peggybvd;
ErikFlentge;CoenvdVen
willemhegen;bartlup
IvoNederland;
ivovictoria;
kafi1971;LodewijkA
RemkoTheulings;
dsmih;VogelvrijeHArts
ottodevries;
bregjejonkhart;
Mabspace;Energiecomm,emileroemer,LodewijkA
FritsvanWezel;mvanhulten
Evelyn__020;
jverhaaren;
mleijte;
politiq;
furanity;bartlup
RamonMesman;Espen_vdH
Meijerstim;
stefaniewiggers;Spittie28
fantasticmomsNL;bartlup
vanbeekej;
wesleyvdheijden;
Verkoulen;
kingmanet;
DutchInfidel;YidArmyNL
PetervanDijken;bartlup
MaartenvandenE;LodewijkA,geertwilderspvv,emileroemer
gewoonBar;jeroen_veghel
igor77s;
MichielPopping;woukevscherrenb
cdavandaag;
Legerdesheils;
MaartenKoning;APechtold,LodewijkA
luis_pels;
PW_newstyle;LodewijkA,emileroemer
arnansamson;
nabrander;LodewijkA
casperkloos;emileroemer,geertwilderspvv,nosdebat,PvdA,VVD
ralphvdcaaij;LodewijkA
krolla1983;
4ernst;
BonteRaaf;Niekess
cetwe2_0;bartlup
Mgobus;
DABNOS;
cvrooijen;LodewijkA
zyouri;bartlup
ruudfiere;Niekess
Irma_Koopman;HansdeBoer18
Suntzumo;wltrrr
rachel__schwab;adewolff
traallok;paralyz3
andreadankbr;PvdAtotMonasch
frankvanpamelen;
MatthieuHerben;
dicokuiper;mvanhulten
JSN030;
monikat007;sdinjens
fritsbloemberg;
matxil;ashatenbroeke
JuanvanGinkel;LPnl
ageerlim;LodewijkA
dobbelska;JorisW_GP
robvandegroep;
ErikFlentge;
phoogstra;
BertinevD;
MMeijl;bartlup
Spittie28;
AbrahamWijnand;
vdf79;beschuit_p
mailnaarchantal;HansdeBoer18
FRjerrrr_;bartlup
ralfvanhoorn;
crottvh;mvanhulten
pepijnnagtzaam;
hypomargoteros;
BastiaanRagas;mvanhulten
LinekeK;EricJensen020
EWdeVlieger;LodewijkA
FLUYTKETEL;LodewijkA
VogelvrijeHArts;
Irma_Koopman;naatdefeo
BasvanEmbden;m_vanderkloor
victorginori;
participassant;FemQe
TimoVDJ;Derksen_Gelul
PROldeWeghuis;
denniskemperman;
PcmPaulien;LiseWitteman
vlugtstrook;fvdemocratie
de_apotheker;VogelvrijeHArts
bCnkO;ArtheosNL,ncilla
ThijsH16;
MarOirs;
PKoopmans1;fransweisglas,sybrandbuma,APechtold
DavevanOoijen;peterkerris
ercolan66;Peentje01,ashatenbroeke,MarionAltena
DannyLaanDH;
Trint24_7;
WimSomers;Irma_Koopman
Quicklaunch;bartlup
MJRiemens;sybrandbuma,APechtold
gertjanmiedema;
brinkster20;emileroemer,JohanDerksen
WMPost;uri4u,PvdA,SPnl
StanBackus;
thijsz__;
petertje45;
SolisOfAngelus;
Bart1608;
flarrestein;bartlup
colmschate;
markschoones;
crottvh;
Snielske;markrutte
Irma_Koopman;LiseWitteman
Bertine83;LodewijkA,emileroemer
MarikenLeurs;mvanhulten
WimSomers;YurreWieken
Andre_Nuijten;Fossielvrij,gertjansegers,mariannethieme
vvdharlingen;VVDBunnik,RoelSchrein
hubvos;Legerdesheils
SeanFerrari99;
hopzakid;LodewijkA
kleiohistoria;LodewijkA
foreverdutch;VogelvrijeHArts
Irma_Koopman;bramvommen
Legerdesheils;
PaulVermast;
BoschLaurens;
dezzinski;JohanDerksen
mpk6970;LodewijkA
Feesboekk;
johannawr;Legerdesheils
Stormpje1;
SiriusLightning;APechtold
joosttadema;
leonbroekx;
niekwvink;lucpluijmen76
wdejager;LodewijkA
Nikki013;
Irma_Koopman;
NonstopOscar;
daanvankeulen;
Bjornn_m;VogelvrijeHArts
vvdheerenveen;remcovvd
imfearless13_;
SaraJac53729508;
PascalRijzinga;
FoughtyWilliam;
danisilviaphoto;bartlup
ChantalKarnaat;bartlup
naatdefeo;
RichardWRLD_;VogelvrijeHArts
LindavL;
mrduckie88;LodewijkA
GPuylaert;asscher
jeeveehaa;Eevski
FrankdeLau;
KeesJanGrin;
kajleers;
Marco_Mulders;
AdrivandenEnde;HansdeBoer18
Queenfransje;hanspijnaker
fuut_ruud;PelleBerting,sybrandbuma
Larzuy;
BBalings;cpo3x
Ruben_FCDH;
IvoThijssen;
hilkof;nickhoekman
ArjenSijpkes;
julietkor;bartlup
Gleezy7;
ETAHoffmann1;tolsmageneva
MGCenten;PPSlikker
RuudLassche;
dagvandegarnaal;mkdvrs
Herfstig;
Ruud_2;LodewijkA
rologica;
alonsoNRC;WarnervdLouw
QuirijnLokker;
stomphorst;
PetroesjkaSterk;Legerdesheils
MINieuwenhuis;vanderzande,nosop3
jetxterbraak;
erikbais;huibmodderkolk
JeyFeld;
FoughtyWilliam;
ErikSlingerlnd;nynke
filosoof;
danielkegel;
WoutSmitshoek;VogelvrijeHArts
kars_havenaar;LodewijkA
MarykeGroenland;
Schuurzaam;
DaanVerhoeven;
CasperGraaf;
IvarGierveld;LodewijkA
vanStokrom;
JanTjallema;MichelOss,LodewijkA
Remco_te_Kloese;vanderzande,nosop3
mholkers;
Joey368616;
Melchiorbussink;
janhdevries;
PcmPaulien;tolsmageneva
rubenvaneijk;
m_vanderkloor;
Jaspelino;
avanheertum;
mischapoortman;bartlup
jacobdevries;wizness
IPiarelal;LodewijkA,emileroemer
AdvocaatAlpha;ncilla,Piratenpartij
JantjeSoldaat;DareHeGoes,APechtold
TimSchipper1961;YurreWieken
PvdAtotMonasch;
djvanvliet;
e_klooster76;bartlup
MichielThijssen;LodewijkA,diederiksamsom
Calciet;VogelvrijeHArts
nickfylax;
LangedijkGLinks;sdinjens
aart1975;
_Marye;bartlup
Eevski;
L_van_Barneveld;
Twilsje;
Butchi;
JanVanCau;
MichielSlob;
jas_klo;nickfylax
vvdheerenveen;VVDBunnik,RoelSchrein
Inke1991;
espg;
jadore2080;
KeesdeKok01;fransweisglas,sybrandbuma,APechtold
_xSaartjuh;
PatrickWobben;
SipkeNL;emileroemer
robehv1991;
JurPeppels;
bartlvink;LiseWitteman
Jappie024;
studiorobbie;
WilcoVromans;fransweisglas,sybrandbuma,APechtold
bramvommen;
ChilliBom;NOS
caroline_pers;olle010,thierrybaudet,fvdemocratie
gedachtegoed;vanderzande
crottvh;
bo_verhoef;
HediNeijenhuis;
anneaeri;bartlup
Berttypt;
Harry_Dupa;
ShariLee2;
Spittie28;
WimSomers;YurreWieken
VrijndeSteede;
Suzanne0292;bartlup
SAMSAMMERSAMST;
HaroldHofstra;sybrandbuma,APechtold
Lotte_deirdre;bartlup
adewolff;
WBrusse;
FreeAtLiberty;
HansdeBoer18;
idafm;bartlup
Verwonderster;
SahinYildirim8;
woordenbrouwer;
TonyVroom;
AltijdCorrect;
